[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.113203s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ContentReplace Behavior [ RunTime:0.000092s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run TokenBuild Behavior [ RunTime:0.000066s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000022s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ShowRuntime Behavior [ RunTime:0.000120s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.109663s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | SQL: SELECT COUNT(*) AS tp_count FROM `news` join newtype on newtype.id=news.newtype LIMIT 1   [ RunTime:0.001325s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | SQL: SELECT news.id,news.newtitle,news.author,news.fstcreate,news.newcontent,`count`,`typename`,`entypename`,`newimg` FROM `news` join newtype on newtype.id=news.newtype ORDER BY id desc  LIMIT 0,32   [ RunTime:0.003948s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run LocationTemplate Behavior [ RunTime:0.000936s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --END-- [ RunTime:-0.151325s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ParseTemplate Behavior [ RunTime:0.011130s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.128249s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ContentReplace Behavior [ RunTime:0.000298s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run TokenBuild Behavior [ RunTime:0.000071s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000022s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ShowRuntime Behavior [ RunTime:0.000150s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.129901s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run LocationTemplate Behavior [ RunTime:0.000869s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --END-- [ RunTime:-0.164420s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ParseTemplate Behavior [ RunTime:0.004652s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.141277s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ContentReplace Behavior [ RunTime:0.000117s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run TokenBuild Behavior [ RunTime:0.000065s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000020s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ShowRuntime Behavior [ RunTime:0.000116s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.136436s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run LocationTemplate Behavior [ RunTime:0.000687s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_template ] --END-- [ RunTime:-0.170743s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ParseTemplate Behavior [ RunTime:0.004610s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.147391s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --START--
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ContentReplace Behavior [ RunTime:0.000360s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run TokenBuild Behavior [ RunTime:0.000076s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Run ShowRuntime Behavior [ RunTime:0.000198s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.142531s ]
[ 2013-12-06T11:07:14+08:00 ] /?search_article=uuu | INFO: Tag[ view_end ] --START--
