[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001291s ]
[ 2013-11-04T14:39:33+08:00 ] /login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001357s ]
[ 2013-11-04T14:39:33+08:00 ] /Login/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-11-04T14:39:33+08:00 ] /Login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.005862s ]
[ 2013-11-04T14:39:33+08:00 ] /Login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.006093s ]
[ 2013-11-04T14:39:33+08:00 ] /Login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-11-04T14:39:33+08:00 ] /Login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003923s ]
[ 2013-11-04T14:39:33+08:00 ] /Login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004050s ]
[ 2013-11-04T14:39:33+08:00 ] /Login/verify/ | NOTIC: [8] Use of undefined constant gif - assumed 'gif' LoginAction.class.php 第 69 行.
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ route_check ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run CheckRoute Behavior [ RunTime:0.004547s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.004749s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ app_begin ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003893s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004044s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | SQL: SHOW COLUMNS FROM `indexmenu` [ RunTime:0.004092s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | SQL: SELECT * FROM `indexmenu` WHERE isdel=0  [ RunTime:0.002217s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_template ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run LocationTemplate Behavior [ RunTime:0.006344s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.006497s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | NOTIC: [8] Undefined index:  uname 04b74bac16018df793b2b10a9602b31e.php 第 16 行.
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ParseTemplate Behavior [ RunTime:0.058555s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.058695s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ContentReplace Behavior [ RunTime:0.007358s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run TokenBuild Behavior [ RunTime:0.004217s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001848s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ShowRuntime Behavior [ RunTime:0.002634s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.016472s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_template ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run LocationTemplate Behavior [ RunTime:0.002233s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.075474s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ParseTemplate Behavior [ RunTime:0.035349s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.019125s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ContentReplace Behavior [ RunTime:0.000107s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run TokenBuild Behavior [ RunTime:0.000070s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000022s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000122s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.038135s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_template ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001351s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.114059s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ParseTemplate Behavior [ RunTime:0.003740s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.056723s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ContentReplace Behavior [ RunTime:0.000095s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run TokenBuild Behavior [ RunTime:0.000145s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000023s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000135s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.044203s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_template ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run LocationTemplate Behavior [ RunTime:0.002436s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.120232s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_parse ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ParseTemplate Behavior [ RunTime:0.005726s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.065061s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_filter ] --START--
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ContentReplace Behavior [ RunTime:0.000156s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run TokenBuild Behavior [ RunTime:0.000081s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000022s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000126s ]
[ 2013-11-04T14:40:46+08:00 ] /Register.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.054386s ]
