[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run TokenBuild Behavior [ RunTime:0.000183s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000073s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000205s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.064192s ]
[ 2013-12-19T10:09:20+08:00 ] /miucool/article/delicacies.html | SQL: SELECT COUNT(*) AS tp_count FROM `news` join newtype on newtype.id=news.newtype WHERE ( `entypename` = 'delicacies' ) LIMIT 1   [ RunTime:0.001113s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | SQL: SELECT news.id,news.newtitle,news.author,news.fstcreate,news.newcontent,`count`,`typename`,`entypename`,`newimg` FROM `news` join newtype on newtype.id=news.newtype WHERE ( `entypename` = 'delicacies' ) ORDER BY id desc  LIMIT 0,10   [ RunTime:0.001485s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_template ] --START--
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Run LocationTemplate Behavior [ RunTime:0.002995s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_template ] --END-- [ RunTime:-0.117611s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_parse ] --START--
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Run ParseTemplate Behavior [ RunTime:0.067492s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.082049s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Tag[ view_filter ] --START--
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Run ContentReplace Behavior [ RunTime:0.000217s ]
[ 2013-12-19T10:09:21+08:00 ] /miucool/article/delicacies.html | INFO: Run TokenBuild Behavior [ RunTime:0.000119s ]
