[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ShowRuntime Behavior [ RunTime:0.000200s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.474408s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | SQL: SELECT COUNT(*) AS tp_count FROM `news` join newtype on newtype.id=news.newtype LIMIT 1   [ RunTime:0.006124s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | SQL: SELECT news.id,news.newtitle,news.author,news.fstcreate,news.newcontent,`count`,`typename`,`entypename`,`newimg` FROM `news` join newtype on newtype.id=news.newtype ORDER BY id desc  LIMIT 0,32   [ RunTime:0.002195s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_template ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run LocationTemplate Behavior [ RunTime:0.002438s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_template ] --END-- [ RunTime:-0.572819s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_parse ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ParseTemplate Behavior [ RunTime:0.021038s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.501364s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_filter ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ContentReplace Behavior [ RunTime:0.000480s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run TokenBuild Behavior [ RunTime:0.000114s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000035s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ShowRuntime Behavior [ RunTime:0.000258s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.509323s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_template ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run LocationTemplate Behavior [ RunTime:0.001985s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_template ] --END-- [ RunTime:-0.598153s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_parse ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ParseTemplate Behavior [ RunTime:0.008125s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.526179s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_filter ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ContentReplace Behavior [ RunTime:0.000155s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run TokenBuild Behavior [ RunTime:0.000128s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000044s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ShowRuntime Behavior [ RunTime:0.000218s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.521088s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_template ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run LocationTemplate Behavior [ RunTime:0.001431s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_template ] --END-- [ RunTime:-0.610679s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_parse ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ParseTemplate Behavior [ RunTime:0.010071s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.538163s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_filter ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ContentReplace Behavior [ RunTime:0.000398s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run TokenBuild Behavior [ RunTime:0.000092s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000026s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ShowRuntime Behavior [ RunTime:0.000204s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.535000s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_end ] --START--
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Run ShowPageTrace Behavior [ RunTime:0.002647s ]
[ 2013-11-12T15:28:24+08:00 ] /?r=User | INFO: Tag[ view_end ] --END-- [ RunTime:0.002738s ]
