[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | INFO: Tag[ view_template ] --START--
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | INFO: Run LocationTemplate Behavior [ RunTime:0.007850s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.008138s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | INFO: Tag[ view_parse ] --START--
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | NOTIC: [8] Use of undefined constant username - assumed 'username' e0cda327bdf93c95a272fc0968e46aec.php 第 8 行.
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | INFO: Run ParseTemplate Behavior [ RunTime:0.021743s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021828s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | INFO: Tag[ view_filter ] --START--
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | INFO: Run ContentReplace Behavior [ RunTime:0.001825s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | INFO: Run TokenBuild Behavior [ RunTime:0.001153s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001176s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | INFO: Run ShowRuntime Behavior [ RunTime:0.001534s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005886s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | INFO: Tag[ view_end ] --START--
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | INFO: Run ShowPageTrace Behavior [ RunTime:0.001246s ]
[ 2013-11-01T15:03:26+08:00 ] /admin/Index/top | INFO: Tag[ view_end ] --END-- [ RunTime:0.001310s ]
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | INFO: Tag[ route_check ] --START--
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | INFO: Run CheckRoute Behavior [ RunTime:0.002695s ]
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | INFO: Tag[ route_check ] --END-- [ RunTime:0.002882s ]
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | INFO: Tag[ app_begin ] --START--
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002275s ]
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002420s ]
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | SQL: SHOW COLUMNS FROM `news` [ RunTime:0.059900s ]
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | NOTIC: [8] Undefined variable: condition NewAction.class.php 第 156 行.
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | SQL: SELECT COUNT(*) AS tp_count FROM `news` join newtype on newtype.id=news.newtype LIMIT 1   [ RunTime:0.005520s ]
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | NOTIC: [8] Undefined variable: condition NewAction.class.php 第 159 行.
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | NOTIC: [2] Invalid argument supplied for foreach() NewAction.class.php 第 159 行.
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | NOTIC: [8] Undefined variable: condition NewAction.class.php 第 165 行.
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | SQL: SELECT news.id,news.newtitle,news.author,news.newcontent,news.newremark,news.fstcreate,news.isdel,newtype.typename FROM `news` join newtype on newtype.id=news.newtype ORDER BY id desc  LIMIT 0,20   [ RunTime:0.001352s ]
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | INFO: Tag[ view_template ] --START--
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | INFO: Run LocationTemplate Behavior [ RunTime:0.002322s ]
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | INFO: Tag[ view_template ] --END-- [ RunTime:0.002407s ]
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | INFO: Tag[ view_parse ] --START--
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | NOTIC: [8] Undefined index:  newstitle d4c97a7ec5b01ecd4ff718d42f493d90.php 第 12 行.
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | NOTIC: [8] Undefined index:  isdel d4c97a7ec5b01ecd4ff718d42f493d90.php 第 13 行.
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | INFO: Run ParseTemplate Behavior [ RunTime:0.127315s ]
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | INFO: Tag[ view_parse ] --END-- [ RunTime:0.127491s ]
[ 2013-11-01T15:03:28+08:00 ] /admin/New/newlist | INFO: Tag[ view_filter ] --START--
