[ 2013-11-13T16:18:19+08:00 ] /admin/Index/verify/0.4071718642953783 | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:18:19+08:00 ] /admin/Index/verify/0.4071718642953783 | INFO: Run CheckRoute Behavior [ RunTime:0.002530s ]
[ 2013-11-13T16:18:19+08:00 ] /admin/Index/verify/0.4071718642953783 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002682s ]
[ 2013-11-13T16:18:19+08:00 ] /admin/Index/verify/0.4071718642953783 | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:19+08:00 ] /admin/Index/verify/0.4071718642953783 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001723s ]
[ 2013-11-13T16:18:19+08:00 ] /admin/Index/verify/0.4071718642953783 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001822s ]
[ 2013-11-13T16:18:19+08:00 ] /admin/Index/verify/0.4071718642953783 | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-11-13T16:18:20+08:00 ] /admin/Index/verify/0.5023914710618556 | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:18:20+08:00 ] /admin/Index/verify/0.5023914710618556 | INFO: Run CheckRoute Behavior [ RunTime:0.001642s ]
[ 2013-11-13T16:18:20+08:00 ] /admin/Index/verify/0.5023914710618556 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001749s ]
[ 2013-11-13T16:18:20+08:00 ] /admin/Index/verify/0.5023914710618556 | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:20+08:00 ] /admin/Index/verify/0.5023914710618556 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001270s ]
[ 2013-11-13T16:18:20+08:00 ] /admin/Index/verify/0.5023914710618556 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001357s ]
[ 2013-11-13T16:18:20+08:00 ] /admin/Index/verify/0.5023914710618556 | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002290s ]
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002449s ]
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.005005s ]
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.005128s ]
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.027445s ]
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027557s ]
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.001535s ]
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.001848s ]
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001659s ]
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.002224s ]
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007558s ]
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001762s ]
[ 2013-11-13T16:18:41+08:00 ] /admin/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001862s ]
[ 2013-11-13T16:18:42+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:18:42+08:00 ] /admin/Index/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002023s ]
[ 2013-11-13T16:18:42+08:00 ] /admin/Index/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002200s ]
[ 2013-11-13T16:18:42+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --START--
[ 2013-11-13T16:18:42+08:00 ] /admin/Index/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002239s ]
[ 2013-11-13T16:18:42+08:00 ] /admin/Index/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002365s ]
[ 2013-11-13T16:18:42+08:00 ] /admin/Index/verify/ | NOTIC: [8] Use of undefined constant gif - assumed 'gif' IndexAction.class.php 第 14 行.
[ 2013-11-13T16:19:04+08:00 ] /admin/Index/verify/0.4654833374079317 | INFO: Tag[ route_check ] --START--
[ 2013-11-13T16:19:04+08:00 ] /admin/Index/verify/0.4654833374079317 | INFO: Run CheckRoute Behavior [ RunTime:0.004983s ]
[ 2013-11-13T16:19:04+08:00 ] /admin/Index/verify/0.4654833374079317 | INFO: Tag[ route_check ] --END-- [ RunTime:0.005378s ]
[ 2013-11-13T16:19:04+08:00 ] /admin/Index/verify/0.4654833374079317 | INFO: Tag[ app_begin ] --START--
